episode,reward
1130,-125.14001780118248
1131,-120.11773178895363
1132,-125.50509080773443
1133,-119.79471220153683
1134,-125.36312809598061
1135,-120.04678733960633
1136,-124.08087245018167
1137,-121.55858218545762
1138,-123.07552705665536
1139,-122.76321532240965
1140,-122.27055301088411
1141,-123.21079419414907
1142,-120.92066201878386
1143,-124.87519395025946
1144,-120.1873737274185
1145,-125.19140013373685
1146,-120.21516035612946
1147,-125.10558185117868
1148,-120.04435014484983
1149,-125.67979849617706
1150,-119.9469240318823
1151,-124.48385036431611
1152,-120.76967174526997
1153,-124.20478449804311
1154,-121.48242808613651
1155,-123.54204578051855
1156,-121.76347702218477
1157,-123.30200474664437
1158,-123.14991236318043
1159,-121.071844340463
1160,-125.04818571497918
1161,-119.97639459628563
1162,-125.38129931885845
1163,-120.05198459841813
1164,-125.28366601523672
1165,-119.93984848795306
1166,-124.94672647797218
1167,-120.99732437662858
1168,-122.82207480984458
1169,-123.82162032758492
1170,-120.26716061241568
1171,-125.20585612061699
1172,-119.97135201010468
1173,-125.28683113746878
1174,-120.28695883875146
1175,-122.37897748105632
1176,-124.60207000154162
1177,-120.54000011122615
1178,-123.79068217769297
1179,-122.01421782665835
1180,-123.09939578019342
1181,-122.26840233433923
1182,-122.11528021950667
1183,-123.45816680275499
1184,-120.86743613932948
1185,-124.81210815003045
1186,-120.5260623257525
1187,-125.28328444870057
1188,-120.08383605416276
1189,-124.94137500284366
1190,-120.42554229452097
1191,-125.50459754981047
1192,-120.10371540428105
1193,-124.9279238537071
1194,-121.64638860782314
1195,-122.11383694979357
1196,-124.0715230569704
1197,-120.65277205308557
1198,-124.97309043258984
1199,-120.0062558660745
1200,-125.42112191107032
1201,-120.19524994980662
1202,-124.72315180063165
1203,-120.82446760056786
1204,-124.1687192832572
1205,-120.92551481061452
1206,-124.5247298255875
1207,-120.36725120052168
1208,-124.78596808159594
1209,-121.61051417236858
1210,-123.01626374646649
1211,-122.54308456280275
1212,-122.19228286268888
1213,-123.35353130786464
1214,-122.60262914415276
1215,-123.27800513006122
1216,-121.6118975393874
1217,-124.3728896319496
1218,-120.64903354771025
1219,-125.43122268674561
1220,-119.80692330165597
1221,-125.30798898298355
1222,-120.03880865452875
1223,-125.43870194763713
1224,-119.72936484315431
1225,-125.45042939034573
1226,-120.37614452209934
1227,-124.61757767766368
1228,-121.46399345200963
1229,-123.44057252037902
1230,-121.76514332110222
1231,-124.77766060345942
1232,-120.04960989117536
1233,-125.23083877445612
1234,-120.19297866124964
1235,-125.22597168163985
1236,-120.08567146729138
1237,-124.37798917932008
1238,-121.3240483729038
1239,-124.31028072819707
1240,-121.08564065749954
1241,-124.55236790209786
1242,-121.1526849700632
1243,-123.88625786935255
1244,-121.77081456697577
1245,-122.75461841031516
1246,-123.65800172986253
1247,-120.9383053199228
1248,-124.64816589209484
